Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Shares Outstanding,Market Cap,exchange_portion
1990-01-01 00:00:00-05:00,0.2467077911837302,0.2712036124978356,0.2449582131410539,0.2642052769660949,736019200,0.0,0.0,14681140000,3878834659.8780146,0.05013365447097432
1990-01-08 00:00:00-05:00,0.2624546957715853,0.2659546670192377,0.2362093149662995,0.2414588630199432,770380800,0.0,0.0,14681140000,3544891372.236609,0.052474181160318614
1990-01-15 00:00:00-05:00,0.2414589997893047,0.2502069354963834,0.2257111176219492,0.2397094219923019,1111712000,0.0,0.0,14681140000,3519207583.5880632,0.0757238198123579
1990-01-22 00:00:00-05:00,0.2379590432158169,0.2432086179714501,0.225711133421271,0.2292111068964004,749067200,0.0,0.0,14681140000,3365080349.9010196,0.051022413790754666
1990-01-29 00:00:00-05:00,0.2309606920101228,0.2432086009473399,0.224836340403964,0.2397094219923019,615865600,0.0,0.0,14681140000,3519207583.5880632,0.041949439893632236
1990-02-05 00:00:00-05:00,0.2397094219923019,0.2467077565413455,0.2257111176219492,0.2397094219923019,842833600,0.0,0.0,14681140000,3519207583.5880632,0.05740927475659247
1990-02-12 00:00:00-05:00,0.2397094859204437,0.2449582440722762,0.2344599101322604,0.2362095117568969,498321600,0.000982,0.0,14681140000,3467824911.434649,0.03394297718024622
1990-02-19 00:00:00-05:00,0.2352151485687975,0.2422368481813963,0.2281942692263065,0.233459934592247,644291200,0.0,0.0,14681140000,3427457984.1396213,0.04388563830874169
1990-02-26 00:00:00-05:00,0.2317046855766422,0.2439920486970508,0.2317046855766422,0.2369703501462936,571692800,0.0,0.0,14681140000,3478994886.346757,0.038940627226496036
1990-03-05 00:00:00-05:00,0.2352152134810765,0.2633004025782071,0.2352152134810765,0.2589123547077179,997024000,0.0,0.0,14681140000,3801128527.1936655,0.06791189240072637
1990-03-12 00:00:00-05:00,0.2615452342467219,0.2861199753199986,0.2545243282920884,0.2826095223426819,1179315200,0.0,0.0,14681140000,4149029962.8460407,0.08032858483741726
1990-03-19 00:00:00-05:00,0.2843646521581551,0.3019185054688164,0.2808542236658918,0.2966520190238952,1435492800,0.0,0.0,14681140000,4355189822.572469,0.09777801996302739
1990-03-26 00:00:00-05:00,0.298407345856637,0.3045514295420458,0.2808543075721731,0.2826095223426819,635846400,0.0,0.0,14681140000,4149029962.8460407,0.04331042412237742
1990-04-02 00:00:00-04:00,0.2808541953193303,0.2948967750138871,0.2773437437450838,0.2799765765666961,664641600,0.0,0.0,14681140000,4110375317.296385,0.04527179769418451
1990-04-09 00:00:00-04:00,0.2790989537074466,0.308939350162762,0.2773437396642943,0.3036736845970154,661763200,0.0,0.0,14681140000,4458275877.884626,0.04507573662535743
1990-04-16 00:00:00-04:00,0.3054290486454498,0.3106947163932753,0.2790990693653651,0.2826095223426819,1356443200,0.0,0.0,14681140000,4149029962.8460407,0.09239358796387746
1990-04-23 00:00:00-04:00,0.2826094142038993,0.2843646283027859,0.267689215502472,0.2747101187705993,823233600,0.0,0.0,14681140000,4033057713.087796,0.056074228568081225
1990-04-30 00:00:00-04:00,0.2755876801988198,0.2861198306392095,0.2738324663158614,0.2808541655540466,771276800,0.0,0.0,14681140000,4123259324.082135,0.052535211843221984
1990-05-07 00:00:00-04:00,0.2790989858392787,0.30016247079738,0.2790989858392787,0.2992848753929138,739972800,0.0,0.0,14681140000,4393843155.525923,0.05040295235928545
1990-05-14 00:00:00-04:00,0.3001624726687691,0.3001624726687691,0.2773437733231778,0.2790989875793457,875123200,0.0,0.0,14681140000,4097491310.5106354,0.059608667991722715
1990-05-21 00:00:00-04:00,0.2773437143518422,0.2984071949625575,0.2720772289966154,0.2808541655540466,1242539200,0.000982,0.0,14681140000,4123259324.082135,0.0846350623997864
1990-05-28 00:00:00-04:00,0.2816334178578855,0.2957149583184904,0.2763523202185998,0.2869136929512024,780348800,0.0,0.0,14681140000,4212220094.133615,0.05315314750761862
1990-06-04 00:00:00-04:00,0.2869138234148328,0.2886739080791685,0.2640309836804869,0.2693120837211609,1210921600,0.0,0.0,14681140000,3953808404.802084,0.08248144217683367
1990-06-11 00:00:00-04:00,0.2657917030649084,0.2869136206624111,0.2657917030649084,0.2781131565570831,746345600,0.0,0.0,14681140000,4083018187.2564545,0.05083703309143568
1990-06-18 00:00:00-04:00,0.2763523359170706,0.3001152202788086,0.2701920067911527,0.2921947836875915,915936000,0.0,0.0,14681140000,4289752526.587247,0.06238861559797128
1990-06-25 00:00:00-04:00,0.2921948559797314,0.3159577227193427,0.2833935879349507,0.3150776922702789,921614400,0.0,0.0,14681140000,4625699711.096882,0.06277539755087139
1990-07-02 00:00:00-04:00,0.3133167853246116,0.3168377766697272,0.3045163163247293,0.3150776922702789,551432000,0.0,0.0,14681140000,4625699711.096882,0.03756057090934355
1990-07-09 00:00:00-04:00,0.3168377412249085,0.3361995840043201,0.3150776570223619,0.3291592001914978,1336484800,0.0,0.0,14681140000,4832432300.299406,0.09103412950220487
1990-07-16 00:00:00-04:00,0.3291590480389109,0.331799184872996,0.2816333418450054,0.2886736989021301,1382752000,0.0,0.0,14681140000,4238058987.900018,0.0941856013906277
1990-07-23 00:00:00-04:00,0.2886736367856199,0.3045160759713567,0.2816332812434321,0.2913145720958709,711681600,0.0,0.0,14681140000,4276830016.979574,0.048475908546611504
1990-07-30 00:00:00-04:00,0.286913815757937,0.3080365467629188,0.2798734302858335,0.2904348075389862,767065600,0.0,0.0,14681140000,4263914070.352912,0.05224836763357614
1990-08-06 00:00:00-04:00,0.2745923527459995,0.2869138145652986,0.2693120754145326,0.2728322446346283,679817600,0.0,0.0,14681140000,4005488379.995227,0.04630550488586036
1990-08-13 00:00:00-04:00,0.2675517169605081,0.283393356678529,0.2517092781982409,0.256990373134613,716340800,0.0,0.0,14681140000,3772911646.641492,0.048793268097709036
1990-08-20 00:00:00-04:00,0.2569906098439606,0.2640309716827078,0.2358678557337854,0.249949425458908,575937600,0.000982,0.0,14681140000,3669542508.081792,0.039229760086750755
1990-08-27 00:00:00-04:00,0.259532686337708,0.2710086719600538,0.2542364511199909,0.2612980902194977,570640000,0.0,0.0,14681140000,3836153844.245076,0.038868916174084576
1990-09-03 00:00:00-04:00,0.2577672587336473,0.2648288971832728,0.2480566778867541,0.2568845450878143,292600000,0.0,0.0,14681140000,3771357970.2705135,0.019930332385632177
1990-09-10 00:00:00-04:00,0.261297805917335,0.261297805917335,0.2330496301900389,0.2401112616062164,565835200,0.0,0.0,14681140000,3525107047.217488,0.03854163913701524
1990-09-17 00:00:00-04:00,0.2401114757404533,0.2489393420216825,0.2189257139945937,0.22245654463768,639542400,0.0,0.0,14681140000,3265915675.742029,0.043562175689353826
1990-09-24 00:00:00-04:00,0.2224565344456215,0.2224565344456215,0.1924428960074644,0.2048016041517257,708971200,0.0,0.0,14681140000,3006721022.7760663,0.04829129073082881
